Wind [m/s],Pitch [deg],Power [MW],Power Coefficient [-],Aero Power Coefficient [-],Rotor Speed [rpm],Tip Speed [m/s],Thrust [MN],Thrust Coefficient [-],Torque [MNm],Torque Coefficient [-],Blade Moment [MNm],Blade Moment Coefficient [-]
3,3.920293066,0.042500121,0.056434434,0.05897929,5,63.33974388,0.202909425,0.808309128,0.0848295,0.002806784,5.980185544,0.197868559
3.54953237,3.913016973,0.292273273,0.234311418,0.244877465,5,63.33974388,0.275784048,0.784774049,0.583372359,0.01378822,7.854972515,0.185655162
4.067900771,3.709535473,0.607683429,0.323656337,0.338251306,5,63.33974388,0.360568653,0.781205046,1.212925534,0.021827203,10.04565323,0.180776562
4.553906848,3.347852063,0.980824467,0.372354525,0.389145491,5,63.33974388,0.454006762,0.784895445,1.957708542,0.028111524,12.46569389,0.178999911
5.006427063,2.905271743,1.401604341,0.400460354,0.418518725,5,63.33974388,0.550743112,0.787791082,2.797577836,0.033237705,14.97412576,0.177905892
5.424415288,2.410742282,1.858097567,0.41737602,0.436197187,5,63.33974388,0.648091847,0.789675144,3.708730359,0.03753393,17.50236286,0.177131362
5.806905228,1.897891096,2.33681832,0.42786672,0.447160954,5,63.33974388,0.743097627,0.790085645,4.66424864,0.041190481,19.97338486,0.176387107
6.153012649,1.38709008,2.823250666,0.434514015,0.454108003,5,63.33974388,0.833653636,0.789455775,5.635159124,0.044323619,22.33283369,0.175659992
6.461937428,0.891713024,3.302257138,0.438773526,0.458559593,5,63.33974388,0.918175231,0.78834778,6.591247694,0.047005295,24.54016065,0.175007454
6.732965398,0.425207394,3.758708724,0.441506699,0.461416015,5,63.33974388,0.995161603,0.787043287,7.502317104,0.049281883,26.55670159,0.174448007
6.965470002,0.000469162,4.17814357,0.443251132,0.463239112,5,63.33974388,1.063280746,0.785714686,8.339501745,0.05118514,28.34690587,0.173984056
7.158913742,0,4.546959581,0.444321653,0.46363055,5.086081797,64.43022368,1.11334287,0.778847528,8.908071675,0.051759978,29.65857718,0.172329924
7.312849418,0,4.855095716,0.445098035,0.46363055,5.195446076,65.81564476,1.161737302,0.778847528,9.295284892,0.051759978,30.94776674,0.172329924
7.426921164,0,5.091278414,0.445572294,0.46363055,5.27648885,66.84229047,1.198263417,0.778847528,9.587537406,0.051759978,31.92079369,0.172329924
7.500865272,0,5.248186603,0.445854287,0.46363055,5.329022767,67.50778745,1.22224256,0.778847528,9.779399169,0.051759978,32.55957918,0.172329924
7.534510799,0,5.320523056,0.445971313,0.46363055,5.35292638,67.81059719,1.233232019,0.778847528,9.867327955,0.051759978,32.8523297,0.172329924
7.541241633,0,5.335074621,0.445994704,0.46363055,5.357708331,67.8711747,1.23543638,0.778847528,9.884965469,0.051759978,32.91105213,0.172329924
7.58833327,0,5.437629628,0.44615751,0.46363055,5.391164791,68.29499943,1.250914035,0.778847528,10.00880519,0.051759978,33.32336468,0.172329924
7.675676842,0,5.630967375,0.446427293,0.46363055,5.453218417,69.08109158,1.279876417,0.778847528,10.2405388,0.051759978,34.09489971,0.172329924
7.803070431,0,5.920680499,0.446779068,0.46363055,5.543725753,70.22763388,1.322713319,0.778847528,10.58328514,0.051759978,35.23604104,0.172329924
7.970219531,0,6.314795749,0.44716338,0.46363055,5.662477568,71.73197578,1.379987779,0.778847528,11.04154918,0.051759978,36.76178755,0.172329924
8.176737731,0,6.824124693,0.447532442,0.46363055,5.809199332,73.59063957,1.452428655,0.778847528,11.62116264,0.051759978,38.69155545,0.172329924
8.422147605,0,7.462468983,0.447849163,0.46363055,5.983551858,75.79932844,1.540920985,0.778847528,12.3292069,0.051759978,41.04892142,0.172329924
8.70588182,0,8.237943086,0.447608431,0.46363055,6.185132081,78.35293638,1.646494209,0.778847528,13.17391868,0.051759978,43.86130896,0.172329924
9.027284445,0,9.167503057,0.446783839,0.46363055,6.413473991,81.24556,1.770308387,0.778847528,14.16457987,0.051759978,47.15962114,0.172329924
9.385612468,0,10.28468981,0.445985887,0.46363055,6.668049714,84.47051221,1.913638541,0.778847528,15.31139216,0.051759978,50.97782356,0.172329924
9.780037514,0,11.61664761,0.44522242,0.46363055,6.948270725,88.02033763,2.077857279,0.778847528,16.62533805,0.051759978,55.3524814,0.172329924
10.20964776,0,13.19374497,0.444481389,0.46363055,7.253489215,91.88682983,2.264415873,0.778847528,18.11802945,0.051759978,60.3222554,0.172329924
10.65843263,0,15,0.444149321,0.463833394,7.499240933,95,2.447339849,0.772369945,19.94703495,0.05228731,65.14869599,0.170774759
10.67345004,0.511974392,15.00000265,0.442277294,0.461878402,7.499240933,95,2.374311052,0.74721528,19.9470383,0.052140287,63.06741054,0.164854194
11.17037214,3.723733263,14.99997215,0.385838268,0.402938078,7.499240933,95,1.956901748,0.562278542,19.94699774,0.047604378,50.90543244,0.12148803
11.6992653,5.396486368,15.00000888,0.33584085,0.350724844,7.499240933,95,1.769139016,0.463406962,19.94704659,0.043397635,45.21424327,0.098370013
12.25890683,6.766694447,15.00000059,0.291913256,0.304850441,7.499240933,95,1.630599159,0.389010657,19.94703557,0.039525695,40.89463241,0.081034035
12.84800295,7.989590009,15.0000001,0.2535725,0.264810476,7.499240933,95,1.518234459,0.329750424,19.94703492,0.03598419,37.29572857,0.067281007
13.46519181,9.124292675,14.99994632,0.220277351,0.230039733,7.499240933,95,1.423067352,0.281396143,19.9469634,0.032760939,34.16497221,0.05611263
14.10904661,10.20005088,15.00008104,0.191477776,0.199963801,7.499240933,95,1.340503102,0.241429458,19.94714255,0.029839394,31.37410139,0.046933247
14.77807889,11.23370987,15.00005146,0.166631299,0.174016164,7.499240933,95,1.267744754,0.208119912,19.94710322,0.027198723,28.84591141,0.039332626
15.470742,12.23548853,15.00003481,0.145236779,0.151673469,7.499240933,95,1.20299036,0.180201181,19.94708107,0.02481771,26.53102258,0.033009302
16.18543466,13.21207233,15.00002476,0.12683428,0.132455397,7.499240933,95,1.144953313,0.156695606,19.94706771,0.022674357,24.39444366,0.027729806
16.92050464,14.16785471,15.00001806,0.111011922,0.115931814,7.499240933,95,1.092675034,0.136830266,19.9470588,0.020747076,22.41059375,0.023309415
17.67425264,15.10569973,15.00001315,0.097406118,0.101723021,7.499240933,95,1.045410488,0.119983771,19.94705227,0.019015215,20.56016302,0.019599684
18.44493615,16.02744622,15.00000923,0.08569941,0.089497487,7.499240933,95,1.002561347,0.105651196,19.94704705,0.017459385,18.82803369,0.016479927
19.23077353,16.93422766,15.000006,0.075616913,0.078968149,7.499240933,95,0.963634907,0.093419339,19.94704276,0.016061631,17.20197892,0.013851268
20.02994808,17.82668205,15.00000341,0.066922115,0.069888009,7.499240933,95,0.928217511,0.082948375,19.94703931,0.014805512,15.6718209,0.011632269
20.8406123,18.70508213,15.00000149,0.059412476,0.062045553,7.499240933,95,0.895956018,0.07395772,19.94703676,0.013676094,14.22892793,0.009755642
21.66089211,19.56943768,15.00000033,0.052915149,0.055260274,7.499240933,95,0.866544894,0.066214966,19.94703522,0.012659901,12.8658372,0.008165636
22.4888912,20.41950905,15.00018216,0.047283561,0.049379102,7.499240933,95,0.839725354,0.059527679,19.94727702,0.011744977,11.57634071,0.006816161
23.32269542,21.25504455,15.00000054,0.042390918,0.044269624,7.499240933,95,0.815233262,0.053733135,19.9470355,0.010920072,10.35411323,0.005668395
24.1603772,22.07544699,15.00000177,0.038132735,0.039822724,7.499240933,95,0.79288419,0.048699008,19.94703713,0.010175965,9.195130033,0.004690888
25,22.88018135,15.0000035,0.034418276,0.035943645,7.499240933,95,0.772480289,0.044312389,19.94703943,0.009503927,8.095078123,0.003856965
